,Terms per Topic
Topic1,"interview, wa, recruiter, question, week, time, design, round, system, process, problem, day, coding, onsite, call, back, month, asked, leetcode, told"
Topic2,"offer, year, amazon, level, current, team, yoe, base, bonus, 10k, stock, good, google, senior, salary, 00k, doe, sde, culture, wlb"
Topic3,"company, role, tech, experience, job, work, manager, product, working, engineer, career, year, team, startup, opportunity, data, management, project, business, interested"
Topic4,"ha, visa, month, move, year, india, hiring, people, h1b, employee, company, pay, office, option, market, job, doe, moving, home, city"
Topic5,"work, people, time, make, feel, lot, thing, wa, ha, good, life, day, bad, point, friend, made, making, thought, post, hour"
Topic6,"referral, apple, google, microsoft, facebook, uber, company, amazon, software, linkedin, twitter, swe, stripe, lyft, data, salesforce, engineering, dropbox, airbnb, yoe"
