,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Moving investments from Fidelity to Wells Fargo?,GLyh44,/company/Microsoft/,nan,"Hi,I am buying my first home and Wells Fargo is offering relationships discount. If I move my stocks from fidelity to Wells Fargo I get 0.125 discount on interest rate. Is it worth it? I am not sure if there are any hidden problems for moving investments.Kindly help.Tc: 220Thanks#mortgage #housing ",3,26,2021-2-12 14:30:37,/post/Moving-investments-from-Fidelity-to-Wells-Fargo-G8qHCYZF,Wells-Fargo
0,Wells Fargo Referral,NVRs18,/company/CGI/,Eng,Can someone please refer me to a position I'm Interested in at Wells Fargo?Thank you! :)#engineering #software #swe ,1,10,2020-9-14 16:14:25,/post/Wells-Fargo-Referral-7eGFMyDE,Wells-Fargo
0,Wells Fargo Needs Federal Approval for CEO?,6eLtrH,/company/Bank-of-America/,nan,Is this even legal? Do you think this is warranted? Seems a little bit too much governmental interference in my opinion...It's not like we are vetting a cabinet member....What's your opinion?,19,114,2019-5-21 15:21:00,/post/Wells-Fargo-Needs-Federal-Approval-for-CEO-Jfoet1sy,Wells-Fargo
0,Wells Fargo EWS,suis,/company/Facebook/,nan,I had an account in well Fargo. It was closed on Saturday  (Oct 6) due to overdraft of 30$. It is mentioned  that it will be reported to ews I went to bank and talked to banker. She said pay to the closed account in cash. It should  be fine. I got a email yesterday  that the transfer is cancelled  as it is a closed account. Today is holiday  for wells Fargo. I am reading horror stories regarding ews. Anyone here has experience  here dealing with this,0,8,2018-10-8 14:17:37,/post/Wells-Fargo-EWS-exgw1yxL,Wells-Fargo
0,Interviewing with Wells Fargo,qvbd12,/company/YapStone/,nan,Anyone interviewed with Wells Fargo Freemont for Java Software Engineer role. Its a contracting position. Need some guidance on level of interview questions.,1,1,2020-2-11 22:39:22,/post/Interviewing-with-Wells-Fargo-S15VOBS5,Wells-Fargo
0,wells fargo #agile,Ana2020,/company/FIS/,nan,"I am contemplating an agile role in Wells fargo. amidst Covid, how safe is the job with The babks?#career #wellsfargo #it",0,5,2020-4-25 20:35:31,/post/wells-fargo-agile-rSttCBtx,Wells-Fargo
0,Working at Wells Fargo ,qwVT62,/company/Capital-One/,nan,New to Wells Fargo anyone else out there experiencing that WF is a complete shit show?,5,10,2018-12-13 16:16:22,/post/Working-at-Wells-Fargo-oOpFv28c,Wells-Fargo
0,Wells Fargo referral,NVRs18,/company/CGI/,Eng,Can anyone refer me to a position I'm Interested in at wells Fargo? Thanks!,1,6,2020-6-17 16:20:55,/post/Wells-Fargo-referral-omFD4vXi,Wells-Fargo
0,Looking to leave Wells Fargo Middle Market Banking,CVuy67,/company/Wells-Fargo/,nan,I’ve been here for 12 years and have had it. I’m tired of the nonstop reorganizations and management changes and the lack of clear strategy or direction from senior management. Anyone know what I can expect for total compensation if I leave and what banks are good alternatives? I’m in the Middle Market Banking Group (serving companies with revenues of$50Mm to $1B)  at the VP and Senior Relationship Manager level and located in the Bay Area.,10,24,2020-11-5 05:02:17,/post/Looking-to-leave-Wells-Fargo-Middle-Market-Banking-xcGwRfDt,Wells-Fargo
0,Wells Fargo Agile transformation,ragu1012,nan,nan,How is the agile transformation program going? Looking to apply in related position.,1,10,2019-4-6 03:17:28,/post/Wells-Fargo-Agile-transformation-dXwrv5ge,Wells-Fargo
0, Rumor - Wells Fargo Cancelling All Contracts That Havent Started ,DataDork,/company/Ecolab/,Data,"Just got a call from a recruiter who knows someone starting at Wells this monday that recieved a call ~ 15 minutes ago saying their project was cancelled, and in fact all new contracts which have not started are cancelled. Anyone else hear anything? This recruiter may he trying to spook me so that I stay in the mix for a role he is trying to recruit me for.#layoff",6,29,2020-7-17 16:37:58,/post/Rumor---Wells-Fargo-Cancelling-All-Contracts-That-Havent-Started-dn6qARdG,Wells-Fargo
0,Wells Fargo app = useless,JohnBarron,nan,nan,"First, thanks so much for the card free ATM feature. It’s great that someone, especially a bank of your size, is actually trying to innovate in the US banking system.Your app requires multiple security checks to setup for card free ATM access. Then once it’s setup, I can login using my fingerprint/face on iOS.You still ensure the phone hasn’t been compromised by additionally asking for a PIN on the ATM itself.Your app also asks for my location via GPS.So then I walk to my ***usual*** ATM with my girlfriend before going to an activity that required cash, and I try to withdraw my usual amount in the usual denominations...And it declines! WtfDo I get a text message telling me about suspected fraud? No. Email? No. Phone call? No. In app notification? No.So I call the number on the ATM...Enter your account number or debit card number it demands. Well I don’t have my debit card on my person, hence the whole point of the card free ATM feature.I don’t have a debit card. When I receive it I cut it up for security. I use the card free ATM feature. This is the only way I get access to physical cash as I only carry credit cards + my id.After pressing 0 so many times, I get put on hold for 15 minutes while I hear about how much you care about your customers.The CSR asks for my SSN which I tell her. She looks up my account and then asks for the last four digits of my SSN “for security”. WTF?!She then asks for 2nd factor auth by text message. I give her the code. She asks me to confirm my attempted withdrawal, which I do. Then she tries to ask me to confirm my identity again via the same 2nd factor (wtf)I finally get access to my money. She asks if there’s anything else she can do. I tell her this is the 2nd tome this has happened at the same Wells Fargo ATM. An ATM I have used multiple times over several years.She then goes on a rant about how I need to notify you about travel in advance. And how I can do it in the app.***Well yes, but anyone who had access to my phone could give you a travel notification just as easily as they could ask for the card free ATM code.***",6,13,2018-5-18 19:33:18,/post/Wells-Fargo-app-=-useless-XsL3TBRg,Wells-Fargo
