,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Did this home really sell for 5M?,veronica&,/company/Facebook/,nan,https://www.redfin.com/CA/Palo-Alto/2135-Emerson-St-94301/home/1135867😱😱🤯🤯🤯🤯,3,23,2018-6-24 15:33:55,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
0,Sponsorship of H1b visa for control system engineer,pyxA48,/company/Emerson/,Eng,"I have more than 10 years of experience in various control systems e.g Siemens , Honeywell , abb , emerson.Practically it takes me a week to be familiar with any software. Currently iam based in USA on L1B and working as a project lead for a very big company.If any employer is here who can Sponser h1b.",0,10,2019-7-22 01:46:39,/post/Sponsorship-of-H1b-visa-for-control-system-engineer-xPCE88fY,Emerson
0,Day Care/ Preschool recommendations,Bmvs46,nan,nan,"I am looking for day care facilities/pre-K programs for my toddler. My toddler is super energetic and we are thinking of a half day program for about 3 days in the week to start with. Looking in the Palo Alto - Mountain View areas. For now we have list that reads Palo Alto Montessori School, Emerson school and Odyssey. We eventually want our kid to be ready for private Kindergarten or continue into Kindergarten with the preschool program we will go to. #childcare #daycare #southbay",0,3,2021-1-11 23:56:06,/post/Day-Care-Preschool-recommendations-C8czOhWO,Emerson
